,FeedbackForm.EmailAddress,Email address (optional),อีเมล์ (ไม่บังคับกรอก),អាស័យដ្ឋានអ៊ីម៉ែល (តាមចិត្ត),Địa chỉ e-mail (bổ sung),အီးမေးလ်လိပ်စာ (မဖြစ်မနေ မဟုတ်ပါ),ທີ່ຢູ່ອີເມວ (ສະໝັກໃຈ),,,,,,,,,,,,,,,,,,,
,FeedbackForm.YourName,Your name (optional),ชื่อ (ไม่บังคับกรอก),ឈ្មោះរបស់អ្នក (តាមចិត្ត),Tên của bạn (bổ sung),သင်၏အမည် (မဖြစ်မနေ မဟုတ်ပါ),ຊື່ (ສະໝັກໃຈ),,,,,,,,,,,,,,,,,,,
,FeedbackForm.CommentOrQuestion,Comment or question,ข้อวิจารณ์หรือคำถาม,មតិយោបល់ ឬសំណួរ,Ý kiến hoặc câu hỏi,အကြံပြုချက် သို့မဟုတ် မေးခွန်း,ຄຳເຫັນ ຫຼື ຄຳຖາມ,,,,,,,,,,,,,,,,,,,
,FeedbackForm.Developers,developers,นักพัฒนา,ក្រុមអ្នកអភិវឌ្ឍ,Những người phát triển,ဖန်တီးသူများ,ຜູ້ພັດທະນາ,,,,,,,,,,,,,,,,,,,
,FeedbackForm.Preamble,We would love to hear from you!,เราอยากได้ยินความเห็นจากคุณ,យើងចង់ឮពីអ្នក!,Chúng tôi mong muốn nghe từ bạn!,သင်ပြောသည်ကို နားထောင်လိုပါသည်,ພວກເຮົາຍິນດີທີ່ຈະຟັງຄຳຄິດເຫັນຈາກທ່ານ!,,,,,,,,,,,,,,,,,,,
,LeftRightSection.Both,Both,ทั้งสอง,ទាំងសងខាង,Cả hai,နှစ်ခုစလုံး,ທັງສອງ,,,,,,,,,,,,,,,,,,,
,LeftRightSection.Right,Right,ด้านขวา,ខាងស្តាំ,Bên phải,ညာဘက်,ຂວາ,,,,,,,,,,,,,,,,,,,
,LeftRightSection.ShowRight,Show on the right side,แสดงอยู่ด้านขวา,បង្ហាញផ្នែកខាងស្តាំ,Hiển thị bên phải,ညာဘက်တွင်ပြရန်,ສະແດງທາງເບື້ອງຂວາ,,,,,,,,,,,,,,,,,,,
,LeftRightSection.ShowLeft,Show on the left side,แสดงอยู่ด้านซ้าย,បង្ហាញផ្នែកខាងឆ្វេង,Hiển thị bên trái,ဘယ်ဘက်တွင်ပြရန်,ສະແດງທາງເບື້ອງຊ້າຍ,,,,,,,,,,,,,,,,,,,
,LeftRightSection.ShowBoth,Show on both sides,แสดงอยู่ทั้งสองด้าน,បង្ហាញផ្នែកទាំងសងខាង,Hiển thị hai bên,နှစ်ဘက်လုံးတွင် ပြရန်,ສະແດງທັງສອງເບື້ອງ,,,,,,,,,,,,,,,,,,,
,LeftRightSection.Left,Left,ด้านซ้าย,ខាងឆ្វេង,Trái,ဘယ်ဘက်,ຊ້າຍ,,,,,,,,,,,,,,,,,,,
,SharePanel.Shorten,Shorten the share URL using a web service,ใช้บริการบนเว็บกำหนด URL ให้สั้นลง,ធ្វើឱ្យអាសយដ្ឋាន URL ចែករំលែកខ្លីដោយប្រើសេវាបណ្ដាញ,Sử dụng dịch vụ web để đơn giản hóa việc chia sẻ URL,URL ကို တိုတောင်းစေရန်,ຫຍໍ້ທີ່ຢູ່ URL ໂດຍນຳໃຊ້ ເວັບເຊີວິສ໌,,,,,,,,,,,,,,,,,,,
,SharePanel.CreatingPrintView,Creating print view...,กำลังสร้างมุมมองงานพิมพ์,បង្កើតទិដ្ឋភាពបោះពុម្ព ...,Tạo phiên bản in,ပုံထုတ်ရန် ပြင်ဆင်ခြင်း,ສ້າງມູມມອງເພື່ອພິມ...,,,,,,,,,,,,,,,,,,,
,SharePanel.Share,Share,แบ่งปัน,ចែករំលែក,Chia sẻ,မျှဝေရန်,ແບ່ງປັນ,,,,,,,,,,,,,,,,,,,
,SharePanel.OpenPrint,Open a printable version of this map.,เปิดแผนที่สำหรับสั่งพิมพ์ได้,បើកបង្ហាញទម្រង់ដែលអាចបោះពុម្ពនៃផែនទីនេះ,Mở phiên bản in của bản đồ này,ဤမြေပုံကို ပုံထုတ်ရန်,ເປີດແຜນທີ່ນີ້ໃນຮູບແບບສຳລັບພິມ,,,,,,,,,,,,,,,,,,,
,SharePanel.ShowPrintView,Show Print View,แสดงมุมมองงานพิมพ์,បង្ហាញទិដ្ឋភាពបោះពុម្ព,Hiển thị bản in,ပုံထွက်ကြည့်ရန်,ສະແດງມູມມອງເພື່ອພິມ,,,,,,,,,,,,,,,,,,,
,SharePanel.PrintMap,Print Map,พิมพ์แผนที่,បោះពុម្ពផែនទី,In bản đồ,မြေပုံထုတ်ရန်,ພິມແຜນທີ່,,,,,,,,,,,,,,,,,,,
,SharePanel.ShareYourMap,Share your map with others,แบ่งปันแผนที่ของคุณให้เพื่อน,ចែករំលែកផែនទីរបស់អ្នកជាមួយអ្នកដទៃ,Chia sẻ bản đồ với người khác,မြေပုံမျှဝေရန်,ແບ່ງປັນແຜນທີ່,,,,,,,,,,,,,,,,,,,
,SharePanel.Print,Print,พิมพ์,បោះពុម្ព,In,ပုံထုတ်ရန်,ສັ່ງພິມ,,,,,,,,,,,,,,,,,,,
,SharePanel.Embed,"To embed, copy this code to embed this map into an HTML page:",คัดลอกโค้ดนี้ เพื่อฝังแผนที่ลงในหน้า HTML:,ចម្លងកូដនេះ ដើម្បីភ្ជាប់ផែនទីនេះទៅទំព័រ HTML មួយ,Sao chép đoạn mã này để đính kèm bản đồ vào trang HTML,ဤမြေပုံကို HTML သို့ ထည့်သွင်းနိုင်ရန် ဤကုဒ်အား ကူးယူပါ,"ເພື່ອຝັງແຜນທີ່, ຈົ່ງກ່າຍເອົາແຖວ code ນີ້ເພື່ອຝັງແຜນທີ່ໃນໜ້າ HTML",,,,,,,,,,,,,,,,,,,
,SharePanel.AdvancedOptions,Advanced Options,ทางเลือกขั้นสูง,ជម្រើសបន្ថែម,Chọn lựa nâng cao,နောက်ထပ်ရွေးချယ်စရာများ,ຕົວເລືອກລະດັບສູງ,,,,,,,,,,,,,,,,,,,
,ViewingControls.Info,info,ข้อมูล,ព័ត៌មាន,Thông tin,အချက်အလက်,ຂໍ້ມູນ,,,,,,,,,,,,,,,,,,,
,ViewingControls.ZoomTo,Zoom to,ซูมระยะ,ពង្រីកទៅកាន់,Mở cửa số xem đến,မြင်ကွင်းချုံ့ချဲ့ရန်,ຂະຫຍາຍໃຫ້ເຫັນ,,,,,,,,,,,,,,,,,,,
,ViewingControls.Remove,Remove,ลบออก,លុបចោល,Loại bỏ,ဖယ်ရှားရန်,ລຶບອອກ,,,,,,,,,,,,,,,,,,,
,ViewingControls.ZoomData,Zoom to Data,ซูมเข้าถึงข้อมูล,ពង្រីកទៅកាន់ទិន្នន័យ,Mở cửa sổ xem về dữ liệu,အချက်အလက် ကြည့်ရန်,ຂະຫຍາຍໃຫ້ເຫັນຂໍ້ມູນ,,,,,,,,,,,,,,,,,,,
,ViewingControls.RemoveData,Remove This Data,ลบข้อมูลนี้ออก,លុបទិន្នន័យនេះ,Loại bỏ dữ liệu này,အချက်အလက် ဖယ်ရန်,ລຶບຂໍ້ມູນນີ້ອອກ,,,,,,,,,,,,,,,,,,,
,ViewingControls.AboutData,About This Data,เกี่ยวกับข้อมูลนี้,អំពីទិន្នន័យនេះ,Thông tin về dữ liệu này,အချက်အလက်အကြောင်း,ກ່ຽວກັບຂໍ້ມູນນີ້,,,,,,,,,,,,,,,,,,,
,ViewingControls.DuplicateSplit,Duplicate and show splitter,ทำซ้ำและแสดงเครื่องหมายแบ่งแยก,ចម្លង និងបង្ហាញការញែក,Nhân đôi và hiển thị phần cắt,မြင်ကွင်းနှစ်ပိုင်းခွဲရန်,ສ້າງຂໍ້ມູນຊ້ຳ ແລະ ສະແດງເສັ້ນແບ່ງ,,,,,,,,,,,,,,,,,,,
,ViewingControls.Split,Split,แบ่ง,ញែក,Cắt,မြင်ကွင်းခွဲရန်,ແບ່ງ,,,,,,,,,,,,,,,,,,,
,ViewingControls.ZoomExtent,Zoom to Extent,ซูมขยาย,ពង្រីកទៅរកដែនវិសាលភាព,Mở rộng cửa sổ xem tới biên tọa độ,မြင်ကွင်းပြည့်မြင်ရန်,ຂະຫຍາຍໃຫຍ່ສຸດ,,,,,,,,,,,,,,,,,,,
,FeedbackButton.GiveFeedback,Give feedback,ให้ข้อเสนอแนะ,ផ្តល់មតិត្រឡប់,Cung cấp phản hồi,တုံ့ပြန်ချက်ပေးရန်,ໃຫ້ຄຳຄິດເຫັນ,,,,,,,,,,,,,,,,,,,
meters,DistanceLegend.M,M,ม.,ម៉ែត្រ,Mét,မီတာ,ມ,,,,,,,,,,,,,,,,,,,
kilometers,DistanceLegend.KM,KM,กม.,គីឡូម៉ែត,Kilomet,ကီလိုမီတာ,ກມ,,,,,,,,,,,,,,,,,,,
,SettingPanel.Map,Map,แผนที่,ផែនទី,Bản đồ,မြေပုံ,ແຜນທີ່,,,,,,,,,,,,,,,,,,,
,SettingPanel.ChangeView,Change View,เปลี่ยนมุมมอง,ផ្លាស់ប្តូរការបង្ហាញ,Kiểu xem thay đổi,မြင်ကွင်းပြောင်းရန်,ປ່ຽນມູມມອງ,,,,,,,,,,,,,,,,,,,
,SettingPanel.2D,2D,2 มิติ,2D,2D,2D,2ມິຕິ,,,,,,,,,,,,,,,,,,,
,SettingPanel.3DTerrain,3D Terrain,ภูมิประเทศแบบ 3 มิติ,សណ្ឋានដីលក្ខណៈ 3D,Địa hình 3D,3D မြေမျက်နှာသွင်ပြင်,ພູມສັນຖານ 3 ມິຕິ,,,,,,,,,,,,,,,,,,,
,SettingPanel.MapView,Map View,มุมมองแผนที่,ទិដ្ឋភាពផែនទី,Kiểu xem bản đồ,မြေပုံမြင်ကွင်း,ມູມມອງແຜນທີ່,,,,,,,,,,,,,,,,,,,
,SettingPanel.BaseMap,Base Map,แผนที่ฐาน,ផែនទីគោល,Bản đồ nền,အောက်ခံမြေပုံ,ແຜນທີ່ພື້ນຫຼັງ,,,,,,,,,,,,,,,,,,,
,SettingPanel.3DSmooth,3D Smooth,พื้นผิวเรียบ 3 มิติ,ផ្ទៃរលោង 3D,Làm trơn 3D,ပြတ်သားသော 3D မြင်ကွင်း,ແບບລຽບ 3ມິຕິ,,,,,,,,,,,,,,,,,,,
,Clipboard.CopyUnsuccessful,copy unsuccessful!,คัดลอกไม่สำเร็จ!,ចម្លងមិនបានជោគជ័យ!,Sao chép không thành công,ကူးယူမှု မအောင်မြင်ပါ,ກ່າຍຂໍ້ມູນບໍ່ສຳເລັດ!,,,,,,,,,,,,,,,,,,,
,Clipboard.VisitingUrl,Anyone visiting this URL will see this map view.,ทุกคนที่เปิด URL นี้จะเห็นมุมมองแผนที่นี้,នរណាម្នាក់ដែលចូលមើល URLនេះនឹងឃើញទិដ្ឋភាពផែនទីនេះ។,Bất cứ ai xem đường dẫn URL này sẽ thấy bản đồ này,URL သို့ ဝင်ကြည့်ရန်,ຜູ້ທີ່ມາຊົມໜ້າ URL ນີ້ຈະເຫັນມູມມອງແຜນທີ່ນີ້.,,,,,,,,,,,,,,,,,,,
,Clipboard.Copied,copied!,คัดลอกสำเร็จ!,បានចម្លង!,Đã sao chép!,ကူးယူပြီးပါပြီ,ກ່າຍສຳເລັດ!,,,,,,,,,,,,,,,,,,,
,Clipboard.Copy,Copy,คัดลอก,ចម្លង,Sao chép,ကူးယူရန်,ກ່າຍ,,,,,,,,,,,,,,,,,,,
,Clipboard.ShareUrl,Share URL,แบ่งปัน URL,ចែករំលែក URL,Chia sẻ URL,URL အား မျှဝေရန်,ແບ່ງປັນ URL,,,,,,,,,,,,,,,,,,,
,FeatureInfoPanel.LatLon,Lat / Lon,ข้อมูลพิกัด Lat / Lon,រយៈទទឹង / រយៈបណ្តោយ,Vĩ tuyến/kinh tuyến,လဒ်တီကျု/ လောင်ဂျီကျု,Lat / Lon,,,,,,,,,,,,,,,,,,,
,FeatureInfoPanel.FeatureInformation,Feature Information,ข้อมูลแนะนำ,ព័ត៌មាន Feature,Thông tin thuộc tính,အသေးစိတ်အချက်အလက်,ຂໍ້ມູນແນະນຳ,,,,,,,,,,,,,,,,,,,
East,FeatureInfoPanel.E,E,ต.อ.,ទិសខាងកើត,Đông,အရှေ့,E,,,,,,,,,,,,,,,,,,,
,FeatureInfoPanel.AddData,Click 'Add Data' to add data to the map.,"คลิก ""เพิ่มข้อมูล"" เพื่อเพิ่มข้อมูลในแผนที่","ចុច ""បន្ថែមទិន្នន័យ"" ខាងលើដើម្បី","Nhấp chuột ""Thêm dữ liệu"" để thêm dữ liệu vào bản đồ",အချက်အလက်ထည့်ရန်,ຄລິກ 'ເພີ່ມຂໍ້ມູນ' ເພື່ອເພີ່ມຂໍ້ມູນໃນແຜນທີ່.,,,,,,,,,,,,,,,,,,,
North,FeatureInfoPanel.N,N,น.,ទិសខាងជើង,Bắc,မြောက်,N,,,,,,,,,,,,,,,,,,,
,FeatureInfoPanel.CloseDataPanel,Close data panel,ปิดแผงข้อมูล,បិទផ្ទាំងទិន្នន័យ,Đóng cửa sổ quản lý dữ liệu,အချက်အလက်ပြဇယားကို ပိတ်ပါ,ປິດໜ້າຕ່າງສະແດງຂໍ້ມູນ,,,,,,,,,,,,,,,,,,,
South,FeatureInfoPanel.S,S,ต.,ទិសខាងត្បូង,Nam,တောင်,S,,,,,,,,,,,,,,,,,,,
,FeatureInfoPanel.LearnMore,Click on the map to learn more about a location,คลิกบนแผนที่เพื่อสำรวจสถานที่เพิ่มเติม,ចុចលើផែនទីដើម្បីយល់ដឹងបន្ថែមអំពីទីតាំងមួយ,Nhấp chuột vào bản đồ thể có nhiều thông tin hơn về vị trí,ထပ်ပြီးလေ့လာရန်,ຄລິກໃສ່ແຜນທີ່ເພື່ອເບິ່ງຂໍ້ມູນທີ່ຕັ້ງເພີ່ມເຕີມ,,,,,,,,,,,,,,,,,,,
West,FeatureInfoPanel.W,W,ต.ต.,ទិសខាងលិច,Tây,အနောက်,W,,,,,,,,,,,,,,,,,,,
,FeatureInfoPanel.NoData,No data is available here - try another location.,ไม่มีข้อมูล กรุณาเลือกตำแหน่งอื่น,មិនមានទិន្នន័យនៅទីនេះទេ សូមសាកល្បងទីតាំងមួយផ្សេងទៀត,Không có dữ liệu-thử vị trí khác,အချက်အလက်မရှိပါ။ နောက်တစ်နေရာပြောင်းပါ။,ບໍ່ມີຂໍ້ມູນໃນທີ່ນີ້- ກະລຸນາເລືອກທີ່ຕັ້ງໃໝ່.,,,,,,,,,,,,,,,,,,,
,SidePanel.SearchForLocations,Search for Locations,ค้นหาสถานที่,ស្វែងរកទីតាំង,Tìm kiếm các vị trí,တည်နေရာများကို ရှာရန်,ຄົ້ນຫາທີ່ຕັ້ງ,,,,,,,,,,,,,,,,,,,
,SidePanel.ActiveDataSets,All your active data sets will be listed here,ชุดข้อมูลทั้งหมดจะแสดงที่นี่,រាល់សំណុំទិន្នន័យសកម្មរបស់អ្នកនឹងត្រូវបង្ហាញនៅទីនេះ,Tất cả bộ dữ liệu của bạn sẽ được hiển thị ở đây,သုံးနေသော အချက်အလက်များ,ຊຸດຂໍ້ມູນນຳໃຊ້ທັງໝົດຂອງທ່ານຈະສະແດງໃນທີ່ນີ້,,,,,,,,,,,,,,,,,,,
,SidePanel.Tip,TIP:,ข้อแนะนำ:,ការណែនាំ៖,Mẹo:,သတင်းပေးချက်,ແນະນຳ:,,,,,,,,,,,,,,,,,,,
,SidePanel.AddData,Add Data,เพิ่มข้อมูล,បញ្ចូលទិន្នន័យ,Thêm dữ liệu,အချက်အလက်ထည့်ရန်,ເພີ່ມຂໍ້ມູນ,,,,,,,,,,,,,,,,,,,
,SidePanel.WorkbenchEmpty,Your workbench is empty,Workbench ของคุณว่างเปล่า,Workbench របស់អ្នកគឺទទេ,Khu việc của bạn hiện giờ đang trống,Workbench တွင် အချက်အလက်မရှိပါ,ໜ້າຕ່າງບັນທຶກວຽກຂອງທ່ານຫວ່າງເປົ່າ,,,,,,,,,,,,,,,,,,,
,SidePanel.ClickAdd,Click 'Add data' above to:,"คลิก ""เพิ่มข้อมูล"" ด้านบน:","ចុច ""បញ្ចូលទិន្នន័យ"" ខាងលើដើម្បី","Nhấp chuột vào ""Thêm dữ liệu"" phía trên để:",Add Data' ကို နှိပ်ပါ,ຄລິກ 'ເພີ່ມຂໍ້ມູນ' ຂ້າງເທິງ ເພື່ອ:,,,,,,,,,,,,,,,,,,,
,SidePanel.LoadData,Load your own data onto the map,โหลดเพิ่มข้อมูลของคุณในแผนที่,ទាយយកទិន្នន័យរបស់អ្នកទៅលើផែនទី,Đưa dữ liệu của bạn vào bản đồ,ကိုယ်ပိုင် အချက်အလက်ကို ထည့်သွင်းပါ,ໂຫຼດຂໍ້ມູນເຂົ້າໃນແຜນທີ່,,,,,,,,,,,,,,,,,,,
,SidePanel.BrowseData,Browse the Data Catalogue,เรียกดูแคตตาล็อกข้อมูล,ស្វែងរកក្នុងបញ្ជីទិន្នន័យ,Tìm kiếm danh mục dữ liệu,အချက်အလက် ထပ်ရှာသွင်းရန်,ກວດເບິ່ງແຄັດຕາລ໋ອກຂໍ້ມູນ,,,,,,,,,,,,,,,,,,,
,LocalizePanel.Language,Language,ภาษา,ភាសា,Ngôn ngữ,ဘာသာစကား,ພາສາ,,,,,,,,,,,,,,,,,,,
,LocalizePanel.Localization,Localization,การปรับให้เข้ากับท้องถิ่น,កំណត់ទីតាំង,Vị trí hóa,ဒေသသုံး ဘာသာစကား,ການຈຳກັດພຶ້ນທີ່,,,,,,,,,,,,,,,,,,,
,OpacitySection.Opacity,Opacity: (transparency),ความทึบ (โปร่งใส),ផ្ទៃឆ្លុះ៖,Tính trộn:,အလင်းအမှောင်,ຄ່າຄວາມໂປ່ງໃສ:,,,,,,,,,,,,,,,,,,,
East,LocationBar.E,E,ต.อ.,ទិសខាងកើត,Đông,အရှေ့,E,,,,,,,,,,,,,,,,,,,
,LocationBar.Zone,Zone,เขต,តំបន់,Vùng,ဇုံ,ເຂດ,,,,,,,,,,,,,,,,,,,
Longitude,LocationBar.Lon,Lon,ลองจิจูด,រយៈបណ្តោយ,Kinh tuyến,လောင်ဂျီကျု,Lon,,,,,,,,,,,,,,,,,,,
North,LocationBar.N,N,น.,ទិសខាងជើង,Bắc,မြောက်,N,,,,,,,,,,,,,,,,,,,
Elevation,LocationBar.Elev,Elev,ความสูงจากระดับน้ำทะเล,រយៈកម្ពស់,Cao độ,ရေမျက်နှာပြင်အမြင့်,ລະດັບຄວາມສູງ,,,,,,,,,,,,,,,,,,,
Latitude,LocationBar.Lat,Lat,ละติจูด,រយៈទទឹង,Vĩ tuyến,လဒ်တီကျု,Lat,,,,,,,,,,,,,,,,,,,
,"to see ""Add Data"" on WMS map",Data Catalogue,แคตตาล็อกข้อมูล,បញ្ជីទិន្នន័យ,,အချက်အလက်စာရင်း,ແຄັດຕາລ໋ອກຂໍ້ມູນ,,,,,,,,,,,,,,,,,,,
,,Search the catalogue,ค้นหาในแคตตาล็อก,ស្វែងរកបញ្ជី,,စာရင်းကို ရှာဖွေရန်,ຄົ້ນຫາແຄັດຕາລ໋ອກ,,,,,,,,,,,,,,,,,,,
,,My Data,ข้อมูลของฉัน,ទិន្នន័យរបស់ខ្ញុំ,,ကျွန်ုပ်၏ အချက်အလက်များ,ຂໍ້ມູນຂອງຂ້ອຍ,,,,,,,,,,,,,,,,,,,
,,Back,ย้อนกลับ,ត្រឡប់ក្រោយ,,နောက်သို့,ກັບຄືນ,,,,,,,,,,,,,,,,,,,
,,Adding your own data,เพิ่มข้อมูลของคุณ,បញ្ចូលទិន្នន័យរបស់អ្នក,,သင်၏ကိုယ်ပိုင်အချက်အလက်များကို ထည့်ပါ။,ເພີ່ມຂໍ້ມູນຂອງທ່ານ,,,,,,,,,,,,,,,,,,,
,,Add Local Data,เพื่มข้อมูลท้องถิ่น,បញ្ចូលទិន្នន័យក្នុងម៉ាស៊ីនផ្ទាល់,,သင့်တွင်ရှိသော အချက်အလက်များကို ထည့်ပါ။,ເພີ່ມຂໍ້ມູນຈາກຄັອມພິວເຕີ,,,,,,,,,,,,,,,,,,,
,,Add Web Data,เพิ่มข้อมูลเว็บ,បញ្ចូលទិន្នន័យពីបណ្តាញអ៊ីនធឺណេត,,အင်တာနက်တွင်ရှိသော အချက်အလက်များကို ထည့်ပါ။,ເພີ່ມຂໍ້ມູນຈາກເວັບ,,,,,,,,,,,,,,,,,,,
,,Step 1: Select type of file to add:,ขั้นตอนที่ 1: เลือกประเภทไฟล์ที่จะเพิ่ม,ជំហានទី១៖ ជ្រើសរើសប្រភេទឯកសារដើម្បីបញ្ចូល៖,,အဆင့်၁-ဖိုင်အမျိုးအစားရွေးပါ။,ຂັ້ນທີ 1: ເລືອກປະເພດຟາຍທີ່ຈະເພີ່ມ:,,,,,,,,,,,,,,,,,,,
,,Auto-detect (recommended),ตรวจจับอัตโนมัติ (แนะนำ),កំណត់ដោយស្វ័យប្រវត្តិ (ត្រូវបានណែនាំ),,အလိုအလျောက်ရှိပြီး (လက်ခံနိုင်သော),ກວດສອບແບບອັດຕະໂນມັດ (ແນະນຳ),,,,,,,,,,,,,,,,,,,
,,Step 2: Select a local data file to add:,ขั้นที่ 2: เลือกไฟล์ข้อมูลท้องถิ่นที่จะเพิ่ม,ជំហានទី២៖ ជ្រើសរើសឯកសារទិន្នន័យក្នុងម៉ាស៊ីនផ្ទាល់ដើម្បីបញ្ចូល៖,,အဆင့်၂-သင့်တွင်ရှိသော အချက်အလက်ဖိုင်ကို ထည့်ပါ။,ຂັ້ນທີ 2: ເລືອກຟາຍຈາກຄັອມພິວເຕີ:,,,,,,,,,,,,,,,,,,,
,,Browse for local data,เรียกดูข้อมูลท้องถิ่น,ស្វែងរកទិន្នន័យក្នុងម៉ាស៊ីនផ្ទាល់,,သင့်တွင်ရှိသော အချက်အလက်ဖိုင်ကို ထည့်ပါ။,ກວດເບິ່ງຂໍ້ມູນຈາກຄັອມພິວເຕີ,,,,,,,,,,,,,,,,,,,
,,Step 2: Enter the URL of the data file or web service:,ขั้นที่ 2: ป้อน URL ของไฟล์ข้อมูลหรือบริการเว็บ,ជំហានទី២៖ បញ្ចូល URL នៃឯកសារទិន្នន័យ ឬសេវាវែបសាយ៖,,အချက်အလက်ဖိုင်ရှိသော URL သို့မဟုတ် အင်တာနက်သို့ ဝင်ပါ။,ຂັ້ນທີ 2: ປ້ອນ URL ຂອງຟາຍ ຫຼື ເວັບ,,,,,,,,,,,,,,,,,,,
,,Add,เพิ่ม,បញ្ចូល,,ထည့်ပါ။,ເພີ່ມ,,,,,,,,,,,,,,,,,,,
,,Select a dataset to see a preview,เลือกชุดข้อมูลเพื่อดูภาพตัวอย่าง,ជ្រើសរើសសំណុំទិន្នន័យដើម្បីមើលជាមុន,,မြင်ကွင်းကြည့်ရန် အချက်အလက်အစုကို ရွေးပါ။,ເລືອກຊຸດຂໍ້ມູນເພື່ອກວດເບິ່ງ,,,,,,,,,,,,,,,,,,,
,,Go to the map,ไปยังแผนที่,ទៅកាន់ផែនទី,,မြေပုံသို့ သွားကြည့်ပါ။,ເຂົ້າຫາແຜນທີ່,,,,,,,,,,,,,,,,,,,
,,Done,สำเร็จ,រួចរាល់,,လုပ်ဆောင်ရန်,ສຳເລັດ,,,,,,,,,,,,,,,,,,,
,in work bench,User Data,ข้อมูลผู้ใช้,ទិន្នន័យអ្នកប្រើប្រាស់,,အသုံးပြုသူ၏ အချက်အလက်,ຂໍ້ມູນຜູ້ໃຊ້,,,,,,,,,,,,,,,,,,,
,,Has Tenure Document,มีเอกสารการครอบครอง,មានឯកសារកម្មសិទ្ធិ,,ပိုင်ဆိုင်မှုမှတ်တမ်းရှိသည်။,ມີເອກະສານມອບສິດ,,,,,,,,,,,,,,,,,,,
,,No Tenure Document,ไม่มีเอกสารการครอบครอง,មិនមានឯកសារកម្មសិទ្ធិ,,ပိုင်ဆိုင်မှုမှတ်တမ်းမရှိပါ။,ບໍ່ມີເອກະສານມອບສິດ,,,,,,,,,,,,,,,,,,,
,on WMS map,reset zoom,เริ่มค่ามุมมองใหม่,កំណត់ការពង្រីកឡើងវិញ,,မြင်ကွင်းပြောင်းရန်,ຕັ້ງຄ່າຊູມຄືນໃໝ່,,,,,,,,,,,,,,,,,,,
,,go to my location,ไปที่ตำแหน่งของฉัน,ទៅកាន់ទីតាំងរបស់ខ្ញុំ,,မိမိကြည့်လိုသော နေရာသို့သွားရန်,ໄປຫາທີ່ຕັ້ງຂອງຂ້ອຍ,,,,,,,,,,,,,,,,,,,
